City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Caravelas,75.43,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
2,Pisco,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
4,Kapaa,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
5,Mataura,66.47,broken clouds,-46.1927,168.8643,Ellie's Villa
6,Rikitea,77.86,overcast clouds,-23.1203,-134.9692,People ThankYou
8,New Norfolk,71.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
19,Saint-Philippe,79.11,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
22,Coahuayana,69.82,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
25,Victoria,69.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
26,Hilo,76.73,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
27,Lalmohan,65.8,clear sky,22.3384,90.7419,Sundorbon courier service
29,Waipawa,70.43,clear sky,-41.4122,175.5153,Tora Coastal Walk
31,Port Alfred,66.45,light rain,-33.5906,26.891,The Halyards Hotel
32,Puerto Ayora,73.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
33,Arraial Do Cabo,75.6,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
37,Kainantu,66.78,light rain,-6.2887,145.8655,Sylvester buku
41,Ahipara,74.93,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
42,Isangel,78.91,moderate rain,-19.55,169.2667,Tanna Lodge
45,Port Lincoln,72.73,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
47,San Juan,78.94,few clouds,-31.5375,-68.5364,Hotel Provincial
49,Vao,77.92,light rain,-22.6667,167.4833,Hotel Kou-Bugny
50,Necochea,68.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
53,Hobart,72.27,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
56,Sao Filipe,70.5,overcast clouds,14.8961,-24.4956,Hotel Xaguate
57,Port Shepstone,69.89,few clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
59,Harper,78.4,broken clouds,4.375,-7.7169,Screensaver
62,The Valley,76.86,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
65,Inirida,73.24,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
67,Cabedelo,74.07,light rain,-6.9811,-34.8339,Hotel Pigalle
74,Cape Town,64.35,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
76,Camocim,73.2,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
79,Mugumu,61.14,light rain,-1.85,34.7,Lemala Mara
82,Kaitangata,63.93,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
84,Cabo San Lucas,70.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
91,Salalah,71.46,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
94,Teahupoo,76.96,light rain,-17.8333,-149.2667,Vanira Lodge
98,Atuona,77.67,clear sky,-9.8,-139.0333,Villa Enata
102,Itoman,65.17,light intensity shower rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
103,Rundu,66.18,light rain,-17.9333,19.7667,Millennia Estate
107,Port Elizabeth,65.1,few clouds,-33.918,25.5701,39 On Nile Guest House
111,Zeerust,61.61,broken clouds,-25.5369,26.0751,Kareespruit Game Ranch and Guest House
112,Cayenne,74.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
113,Mount Gambier,71.51,overcast clouds,-37.8333,140.7667,The Commodore
114,Tuatapere,67.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
115,Warri,75.33,overcast clouds,5.5167,5.75,BON Hotel Delta
129,Dzilam Gonzalez,70.0,overcast clouds,21.2833,-88.9333,posadas
132,Warrnambool,71.82,overcast clouds,-38.3833,142.4833,Lady Bay Resort
133,Codrington,66.25,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
134,Myitkyina,67.69,clear sky,25.3833,97.4,Shwe Phyu Hotel
136,Palmares Do Sul,66.92,few clouds,-30.2578,-50.5097,Restaurante e Pensão Lopes
137,Kruisfontein,62.89,light rain,-34.0033,24.7314,Oyster Bay House Rental
139,Moron,71.98,clear sky,-34.6534,-58.6198,Hotel Morón
140,Yarada,73.72,haze,17.65,83.2667,Yarada Jungle Beach Resorts
149,Oliveira Dos Brejinhos,67.93,overcast clouds,-12.3169,-42.8961,Hotel Paraiso
163,Nishihara,64.45,light rain,26.1842,127.7558,Minshuku Agaihama
164,Henties Bay,61.86,overcast clouds,-22.116,14.2845,Fishermans Guest House
168,Kahului,79.86,few clouds,20.8947,-156.47,Maui Seaside Hotel
171,Mar Del Plata,65.08,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
173,Nouakchott,66.13,overcast clouds,18.0858,-15.9785,HOTEL IMAN
174,East London,65.64,clear sky,-33.0153,27.9116,Tu Casa
175,Olinda,73.13,light rain,-8.0089,-34.8553,Hotel Albergue de Olinda
176,Bluff,67.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
