City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
0,Caravelas,-17.7125,-39.2481,scattered clouds,75.43,94,40,6.24
1,Nikolskoye,59.7035,30.7861,light snow,24.69,97,97,5.93
2,Pisco,-13.7,-76.2167,clear sky,69.85,73,0,3.44
3,Bredasdorp,-34.5322,20.0403,broken clouds,59.29,75,52,6.4
4,Kapaa,22.0752,-159.319,clear sky,78.78,71,0,1.01
5,Mataura,-46.1927,168.8643,broken clouds,66.47,24,75,7.23
6,Rikitea,-23.1203,-134.9692,overcast clouds,77.86,74,92,13.8
7,Hermanus,-34.4187,19.2345,scattered clouds,59.81,81,35,11.9
8,New Norfolk,-42.7826,147.0587,overcast clouds,71.91,52,99,4.0
9,Grand Baie,-20.0182,57.5802,clear sky,83.44,72,1,5.01
10,Norman Wells,65.282,-126.8329,light snow,-9.36,70,75,9.22
11,Hami,42.8,93.45,clear sky,24.55,44,1,4.76
12,Longyearbyen,78.2186,15.6401,clear sky,8.44,78,0,16.11
13,Busselton,-33.65,115.3333,overcast clouds,95.04,42,96,6.22
14,Riyadh,24.6877,46.7219,clear sky,48.34,35,0,5.1
15,Khatanga,71.9667,102.5,overcast clouds,-6.86,96,100,6.67
16,Amapa,1.0,-52.0,moderate rain,70.79,99,80,1.32
17,Izazi,-7.2,35.7333,heavy intensity rain,68.16,97,100,3.53
18,Albany,42.6001,-73.9662,overcast clouds,20.91,70,100,1.99
19,Saint-Philippe,-21.3585,55.7679,clear sky,79.11,76,0,6.69
20,Punta Arenas,-53.15,-70.9167,clear sky,59.11,44,0,6.91
21,Bambous Virieux,-20.3428,57.7575,scattered clouds,83.21,94,40,1.14
22,Coahuayana,18.7333,-103.6833,broken clouds,69.82,84,53,3.09
23,Saskylakh,71.9167,114.0833,overcast clouds,-3.8,94,100,5.06
24,Cap-Chat,49.1001,-66.6821,broken clouds,-4.0,71,69,11.5
25,Victoria,22.2855,114.1577,overcast clouds,69.96,81,97,10.0
26,Hilo,19.7297,-155.09,overcast clouds,76.73,73,100,10.36
27,Lalmohan,22.3384,90.7419,clear sky,65.8,45,5,8.48
28,Labuhan,-6.8844,112.2051,overcast clouds,85.14,68,98,6.91
29,Waipawa,-41.4122,175.5153,clear sky,70.43,41,2,3.15
30,Thompson,55.7435,-97.8558,overcast clouds,-7.44,77,100,0.0
31,Port Alfred,-33.5906,26.891,light rain,66.45,81,91,5.61
32,Puerto Ayora,-0.7393,-90.3518,broken clouds,73.54,94,71,1.01
33,Arraial Do Cabo,-22.9661,-42.0278,overcast clouds,75.6,92,98,5.46
34,Ushuaia,-54.8,-68.3,scattered clouds,51.46,82,40,5.75
35,Flin Flon,54.7682,-101.865,overcast clouds,4.42,95,100,6.53
36,Butaritari,3.0707,172.7902,broken clouds,81.64,80,55,16.33
37,Kainantu,-6.2887,145.8655,light rain,66.78,86,100,2.06
38,Saint George,37.1041,-113.5841,clear sky,50.47,27,0,4.0
39,Pangnirtung,66.1451,-65.7125,overcast clouds,-11.56,100,100,2.82
40,Lavrentiya,65.5833,-171.0,scattered clouds,-8.52,94,32,4.56
41,Ahipara,-35.1667,173.1667,overcast clouds,74.93,51,100,7.31
